Day,Month,Year,Hour,Minute,Second,Latitude,Longitude,Speed
14,8,2014,15,27,41,71750,91275,53260
28,3,2013,1,8,49,30826,17845,27702
7,6,2028,3,11,19,42129,6692,66523
14,2,2024,3,42,3,44973,28704,97216
1,2,2019,19,46,29,25945,15166,84376
22,6,2018,9,38,32,45704,58108,85615
8,2,2010,2,48,47,73192,25176,28380
17,2,2011,20,50,50,45806,34372,17496
19,11,2029,17,54,45,53087,13725,56350
26,4,2027,18,17,6,21376,2702,54299
20,4,2017,3,58,57,50069,34570,49589
19,3,2018,6,39,26,50724,56551,26911
4,3,2027,3,32,21,58096,57695,69322
30,2,2030,15,31,6,93271,19966,29068
28,12,2019,8,60,11,53931,99425,40071
27,4,2025,22,26,7,47038,28217,23261
11,4,2013,21,14,8,85051,32880,40220
24,2,2024,19,56,18,1986,48141,29967
26,9,2012,16,21,26,69256,15149,32688
5,2,2030,10,19,54,9623,87544,19710
7,4,2023,1,12,8,52149,49450,86991
7,11,2017,21,41,33,62479,57417,77492
15,2,2025,9,27,46,80935,87925,41857
15,1,2015,17,37,48,83738,975,46552
26,11,2024,4,60,12,31442,29127,74083
9,4,2017,14,9,6,38226,4196,16099
22,12,2025,16,28,25,7691,68185,13709
28,11,2020,10,21,6,11546,14479,37131
24,2,2019,9,42,19,26748,89124,30343
27,5,2019,23,21,11,49439,75957,78734
15,9,2029,6,46,45,40804,51054,35535
13,1,2029,11,6,39,36378,9463,17582
21,8,2016,15,16,58,55061,4705,24912
21,8,2020,9,45,16,32466,94658,87121
7,6,2014,12,57,29,50545,86588,71425
30,4,2029,16,45,45,261,94311,23762
30,6,2023,17,3,22,10257,38837,39682
15,11,2029,3,1,37,53759,45091,83235
14,9,2024,11,12,45,45954,81315,50969
21,11,2010,4,49,42,15510,35008,81382
19,7,2028,22,32,28,52830,11196,44665
2,3,2023,9,40,27,84441,49265,27177
1,6,2016,22,9,35,47098,78807,71267
2,8,2026,17,34,2,84977,41770,24577
27,11,2017,24,22,25,40277,42522,88978
22,5,2025,9,37,52,18294,47196,2727
2,12,2018,16,35,46,92212,19700,84671
15,3,2027,6,25,59,33542,72089,58084
23,11,2013,9,60,32,68929,36603,33088
6,7,2026,8,40,56,33042,16918,60371
27,7,2012,19,24,14,76561,45604,33918
26,8,2023,11,14,54,83350,87560,55736
20,5,2019,15,44,58,64015,38761,32842
10,3,2025,18,56,47,60241,44088,20031
10,10,2020,7,39,8,650,78959,46397
9,2,2029,14,45,27,64700,85992,61527
27,12,2020,14,16,2,4854,9602,42776
11,5,2030,2,47,4,64739,20347,38892
29,6,2016,3,12,39,92304,33185,58736
8,3,2019,17,59,36,63661,76332,68935
5,5,2028,12,35,51,71422,36026,1150
18,10,2025,18,17,40,56281,235,80857
27,6,2030,12,8,54,67609,36997,2098
9,11,2020,5,29,34,5190,74097,99067
4,1,2022,7,4,55,30598,86938,78358
18,11,2030,18,9,4,96827,98777,97355
29,5,2029,12,27,49,9756,91649,75533
21,11,2030,21,30,7,29738,3735,78083
20,6,2025,12,29,14,77358,88433,44569
24,6,2010,20,31,49,9259,33974,80692
29,4,2011,11,22,11,59334,45017,67001
29,12,2021,22,20,29,80613,62018,13653
29,12,2010,23,1,39,31383,75673,64462
28,6,2020,19,3,51,99572,16572,43582
21,6,2021,14,51,29,28111,31135,60196
27,11,2019,18,22,15,16336,62239,41988
16,9,2027,9,45,24,88168,73334,72673
2,6,2028,7,38,2,17190,89018,86955
4,1,2029,11,55,24,97929,81160,19670
12,9,2030,7,56,42,63686,98336,76673
2,9,2029,23,25,42,84002,61467,59622
1,12,2019,22,1,38,1883,5162,28017
18,7,2024,24,6,2,42859,96968,54349
30,4,2030,24,19,55,7831,22428,60119
4,3,2015,2,6,18,31494,68719,52314
16,5,2029,9,41,55,67066,19653,98692
5,6,2017,18,49,11,62192,70631,38760
6,9,2024,13,51,50,49721,2038,15207
9,4,2030,19,13,12,38987,44571,32752
4,9,2021,11,56,36,6152,75530,23784
5,5,2030,12,36,27,92448,57469,18128
11,4,2013,20,59,34,3744,36727,90756
6,5,2017,23,32,48,71235,27530,53074
7,9,2030,13,59,26,14044,59593,38922
2,3,2020,20,18,50,90668,61726,17405
10,8,2024,12,35,25,78686,18210,20499
12,12,2028,19,29,36,29855,21020,23913
2,11,2014,9,41,24,56414,68168,28200
3,8,2020,11,12,50,67303,48166,82385
11,5,2022,24,59,18,25616,95461,58926
26,6,2021,23,31,24,76983,63377,72047
29,7,2029,1,27,26,27379,29983,18300
24,1,2020,15,28,57,77909,80381,29957
28,11,2018,9,60,43,31490,16792,54177
16,1,2024,19,7,38,24685,41872,25262
21,2,2017,12,48,47,93481,84884,14943
21,1,2012,21,28,44,99058,9481,84194
25,9,2024,18,55,31,55196,25948,39734
20,5,2020,17,11,10,4207,30479,8797
11,2,2030,1,8,51,5368,64602,25462
13,1,2012,11,57,60,75764,22558,52609
26,2,2014,13,32,22,51641,95675,6243
25,3,2030,19,7,44,50472,65822,14653
21,9,2013,3,9,35,56053,10478,22152
5,2,2018,15,22,38,86423,47397,68622
28,6,2014,8,47,55,23475,69029,62545
19,10,2026,1,34,58,13133,86635,24759
24,6,2012,12,36,24,63726,47850,10041
4,11,2021,1,26,6,23154,52751,83569
19,4,2027,3,51,36,33407,49327,86876
8,2,2024,21,57,48,50963,79249,49616
13,5,2015,3,6,1,4760,87869,2715
9,10,2024,18,40,25,68337,52962,47449
26,5,2022,17,38,34,72711,86314,94226
2,9,2010,4,45,31,45816,35625,43786
24,9,2012,10,2,31,2125,72801,21443
29,4,2021,11,38,19,11893,14751,15060
11,3,2015,12,49,35,95288,59461,78592
18,1,2021,11,53,43,88844,61742,11503
25,10,2030,9,32,55,4970,1345,39280
2,10,2017,10,26,16,14230,32872,1908
2,12,2017,1,41,36,3624,40052,11304
23,2,2024,22,18,21,31283,37606,81950
22,9,2026,3,33,8,25807,69510,56241
1,1,2020,12,17,11,58516,90564,62825
18,10,2021,6,35,8,99850,91491,80892
17,12,2024,9,51,4,18152,82964,53144
20,9,2019,2,35,23,60749,10231,59708
26,7,2011,16,17,27,30021,22610,78689
12,1,2027,6,39,14,72076,60009,91618
12,3,2020,6,45,57,17512,6460,58549
7,10,2023,13,11,16,15393,27205,18526
21,11,2010,22,39,24,42743,62162,49981
5,12,2015,18,58,56,32784,72427,96079
22,10,2020,1,51,50,26156,31982,59625
22,2,2019,7,6,28,40363,84911,46876
16,8,2017,16,17,33,98249,45248,57044
17,1,2016,11,34,43,96868,73490,81663
2,3,2022,16,9,2,26074,78563,17723
17,9,2022,6,42,19,596,80236,96220
12,6,2011,21,2,54,16948,31308,67259
10,7,2020,3,55,48,16307,41931,21201
10,10,2014,5,40,55,18021,93202,10276
10,9,2018,7,21,49,24075,18395,12635
7,8,2025,17,41,27,39735,47322,18607
9,3,2013,8,7,36,63954,43933,49240
1,1,2011,4,10,18,18627,49032,55906
8,12,2024,6,51,47,77428,66367,61538
6,7,2010,21,24,45,84899,41743,82571
29,6,2022,16,1,29,73817,39677,76888
13,3,2018,10,20,39,6860,61106,7524
27,4,2013,16,21,29,75200,4640,41680
19,8,2016,16,3,17,42142,42834,74683
11,4,2030,3,15,52,86090,54597,60855
13,1,2017,6,49,5,112,26375,21909
7,3,2020,6,4,19,24943,90074,22013
2,6,2025,4,28,59,90643,77976,87752
30,2,2014,24,19,20,60972,50354,62407
25,2,2017,7,50,51,89419,33899,42671
14,9,2026,16,23,11,16045,90538,52848
5,9,2018,12,40,22,12696,24785,4202
27,12,2012,5,5,13,24198,35454,54859
12,11,2020,2,16,22,38711,45757,86861
21,8,2022,14,50,11,64447,22243,40959
5,2,2024,22,35,13,82008,40051,54929
7,6,2028,19,5,37,39030,78914,67196
14,8,2011,9,33,45,41904,14139,78143
11,3,2026,1,19,23,13374,22518,63506
16,3,2025,7,14,47,8296,94299,82844
8,4,2027,9,1,57,357,17825,41475
2,2,2016,18,53,7,59542,25985,11400
29,7,2023,11,41,44,64483,82475,7121
19,3,2010,18,19,21,9179,94113,15939
28,3,2030,23,28,37,70973,91348,52637
6,11,2012,10,6,48,88399,6563,79644
24,3,2015,18,11,37,46465,84782,71512
22,10,2028,18,3,46,94328,84734,20112
17,3,2016,20,50,19,17793,66270,56318
5,10,2013,14,25,19,14681,48258,21929
12,3,2018,8,10,58,63446,97519,27543
7,3,2014,8,24,50,86193,30855,1540
20,10,2027,24,49,9,42810,79922,46924
5,10,2024,24,32,11,49720,4425,20815
3,1,2013,12,29,30,63331,26260,86998
5,4,2022,21,1,45,28095,33865,79980
23,1,2025,10,52,42,35277,72917,46216
7,4,2023,15,27,49,44473,76394,44844
7,1,2011,9,48,52,57518,97874,51415
28,9,2018,19,39,32,32547,77162,49207
23,5,2017,19,8,46,6163,62125,2752
5,2,2015,6,38,34,35624,68313,25655
17,10,2021,13,58,58,52016,5412,10579
9,7,2013,6,35,55,50500,43336,3697
30,8,2013,9,36,48,74010,17385,14303
20,8,2020,15,10,26,86797,46737,23445
2,9,2028,5,16,54,8927,15997,36469
9,3,2017,16,40,38,27299,12688,23921
6,11,2022,21,6,46,946,98958,45374
5,10,2026,13,27,6,24862,65211,1667
13,6,2026,23,22,27,18989,24228,85164
29,7,2029,15,18,45,48734,3035,50129
30,11,2015,13,59,34,32994,14786,34038
18,12,2016,24,31,20,50193,29869,6058
3,10,2013,2,13,42,15962,83012,50732
17,1,2011,10,25,52,62605,33452,92026
1,4,2014,9,28,3,62878,66149,31189
25,6,2017,6,54,12,13334,38088,25496
22,7,2020,13,30,26,91497,78295,51838
3,10,2022,11,47,23,87447,96816,22349
15,7,2027,6,58,12,95334,36427,13087
25,7,2020,10,58,10,68775,17991,8950
6,5,2028,21,50,22,35419,20628,78071
20,7,2014,17,47,26,90226,3210,86485
25,7,2025,7,50,48,55811,82132,33377
19,11,2029,4,8,48,56027,67346,60153
7,1,2029,4,47,46,9539,472,90171
28,6,2012,12,53,23,24409,95732,61609
10,1,2014,14,53,29,37106,62105,11441
6,12,2012,22,17,24,8836,26228,61646
22,4,2026,15,5,23,394,98689,1197
17,6,2018,6,26,2,23965,17627,30232
22,12,2013,11,43,45,86925,62641,60674
17,2,2018,11,53,37,52679,22382,59620
25,6,2016,13,14,53,57065,34425,67492
29,8,2029,11,32,55,85138,36400,31565
8,6,2011,16,23,52,40849,94407,39842
12,2,2014,24,30,57,12024,14012,47000
12,7,2016,14,44,27,69504,95584,67447
14,5,2016,18,36,45,62580,75907,89593
28,1,2024,18,43,43,22558,20589,71688
19,10,2021,3,34,15,90425,56838,85013
18,3,2013,24,46,44,58773,37421,10660
24,6,2029,22,9,27,30457,76730,60864
9,10,2030,22,33,29,67961,40427,66087
5,12,2016,3,4,40,94600,10239,67062
18,2,2017,2,30,51,28714,18704,40010
3,1,2022,12,10,56,54333,48467,49521
2,4,2014,9,24,6,54779,34783,70356
30,12,2028,24,16,41,72709,93306,48327
2,4,2019,4,18,7,76482,58345,52453
30,8,2010,23,22,14,33589,68785,31262
2,12,2024,16,54,23,34663,71075,11863
30,9,2010,18,55,54,39061,180,33991
13,7,2014,19,57,22,89980,475,33270
19,1,2028,7,51,35,31611,98746,17418
28,11,2011,9,34,40,43122,50356,37388
8,9,2018,3,28,60,60552,92792,65532
20,3,2018,9,57,41,15133,26139,8408
24,6,2010,7,38,51,58012,78682,91448
3,11,2025,24,12,6,92653,76914,41562
6,8,2022,19,1,1,72066,50226,83389
22,9,2018,21,11,33,34327,73040,86679
3,6,2024,1,24,5,50822,56547,60764
13,11,2016,7,49,20,89321,14845,2458
2,12,2029,24,53,59,96429,72764,70345
11,7,2010,2,23,22,50272,42398,65080
20,10,2024,5,40,6,76902,27710,61465
7,8,2014,18,8,34,94213,38053,45116
17,6,2026,23,21,59,17846,59467,5916
9,10,2029,5,38,2,52282,49381,84432
14,1,2026,16,12,27,18006,86581,13219
11,4,2016,3,37,25,67535,83433,42293
10,10,2022,13,53,52,3054,70537,58867
9,3,2024,15,4,17,65241,40075,96182
8,12,2026,19,14,58,20609,34516,58890
1,6,2011,16,26,34,1491,13214,13588
25,6,2028,2,53,39,48557,14081,1585
13,1,2021,1,55,60,58296,64087,87937
6,2,2012,20,48,27,67944,69281,97010
24,2,2019,7,9,8,272,34074,31032
26,12,2023,18,40,57,51843,18811,59414
26,7,2018,10,27,1,85500,79053,20014
20,2,2030,21,12,17,18544,67384,73242
12,4,2013,19,13,29,89137,1924,56455
29,5,2019,19,42,44,67337,33649,26915
11,7,2028,7,57,16,43692,80582,32989
8,3,2010,14,15,22,76976,91099,12073
24,10,2029,15,46,7,74973,91032,27105
28,5,2020,24,40,52,32209,70233,80629
28,10,2018,13,4,41,87984,94537,41330
15,4,2016,14,52,31,67355,9023,13340
23,12,2020,5,56,32,70249,26163,78339
24,10,2015,4,12,42,12052,35334,27443
17,3,2030,9,19,27,70498,46154,21341
17,8,2019,10,44,11,37424,16413,6526
15,9,2015,14,56,18,42068,77004,68338
23,8,2018,18,31,23,85612,32229,76978
23,10,2012,4,33,37,45357,7626,34143
10,10,2013,12,12,43,63974,87283,14520
7,1,2019,23,29,14,52469,87813,8810
22,5,2012,2,24,57,69628,59034,24384
14,8,2030,24,2,20,34430,42527,80862
15,11,2012,18,23,45,74279,94371,53094
8,3,2022,3,30,47,79678,48539,22429
6,8,2022,1,53,60,89317,45917,44545
23,7,2019,7,25,38,34535,70339,27402
24,6,2017,20,51,4,22956,81732,59138
26,9,2025,20,1,15,53912,38818,33478
7,9,2022,5,21,53,11511,5111,98047
23,12,2027,22,36,43,76687,53174,38831
26,1,2030,12,7,50,62075,11206,79459
17,3,2022,10,60,39,28820,51225,19150
21,3,2027,20,57,40,56121,21286,71523
28,9,2030,7,40,50,94667,91844,146
3,12,2018,17,38,8,3695,11828,46576
6,5,2024,22,16,24,88260,65523,67770
12,4,2014,20,39,14,98358,84688,491
1,1,2019,12,48,38,18775,80725,65952
7,12,2027,13,43,35,6723,75847,17973
20,7,2028,12,59,46,58486,49356,48842
21,12,2014,18,55,51,58244,14938,92872
28,6,2019,16,41,49,49927,31208,41434
13,2,2015,11,45,50,52914,76236,2957
30,9,2028,17,1,13,97636,23026,43489
28,3,2011,18,27,37,7002,34428,55135
22,2,2018,2,28,4,57260,42571,17435
8,9,2019,23,59,29,40622,98783,98670
14,6,2026,3,24,2,67504,3590,82605
8,3,2017,17,8,3,52203,99371,69050
11,6,2016,10,14,18,32074,99125,7851
2,5,2011,11,53,29,7709,47650,4796
7,8,2021,3,43,42,91603,64100,51146
4,6,2017,13,49,49,58459,33129,15590
12,9,2019,24,30,59,34308,9209,79232
16,4,2023,23,39,23,67059,20665,11916
18,7,2013,1,22,45,71763,49405,92184
30,6,2025,11,28,9,24219,93258,93480
25,3,2010,19,50,2,55771,31856,59356
2,10,2010,23,39,49,29090,99107,42814
23,3,2022,20,58,15,18438,86798,4451
20,12,2012,20,20,43,57890,60944,9693
30,6,2011,24,52,15,47128,82259,46897
7,6,2026,6,36,4,51986,28313,56932
8,12,2016,24,57,59,12398,61922,15881
22,2,2030,2,6,49,18604,30573,22679
3,11,2015,23,59,22,8214,64909,18588
28,8,2020,19,58,38,56843,65672,68622
24,6,2025,1,28,10,31141,48413,2099
11,10,2023,10,20,42,83471,48427,2255
28,3,2015,22,54,56,82984,14259,25973
5,11,2011,16,17,19,63700,81618,65894
15,11,2026,4,27,27,849,75702,80843
11,5,2010,22,37,29,45661,50554,87422
10,9,2030,20,7,54,20659,46200,57334
10,7,2013,23,48,45,38642,15032,62009
8,6,2024,17,13,24,151,9928,93709
14,2,2021,16,48,43,21454,56262,73197
24,7,2025,14,36,58,5250,98508,70890
1,1,2020,8,6,50,78988,81637,45517
9,1,2012,21,29,27,16409,74770,43521
15,4,2016,18,3,17,81534,76798,44646
16,9,2024,7,20,25,18013,64790,60989
11,12,2012,5,18,36,47910,35398,66018
6,2,2028,24,46,1,14770,7926,62491
19,6,2030,24,33,15,14069,31667,4009
29,8,2020,18,23,60,56690,15725,79429
10,5,2020,19,38,9,19955,18861,37247
16,10,2018,23,38,34,812,46079,19659
23,4,2014,6,8,8,85693,5292,24051
4,8,2015,22,57,2,35002,73406,87698
21,4,2015,15,24,59,3527,78363,65950
16,2,2027,8,46,50,60302,84809,13830
25,10,2026,10,56,34,53414,97907,91930
8,4,2024,11,45,8,72205,63087,13569
3,2,2017,2,33,41,51319,61099,60020
4,5,2024,8,12,50,42046,63565,34148
25,9,2026,3,35,20,86318,50038,51030
25,12,2023,10,20,6,96628,60549,89619
9,3,2028,18,24,58,78117,93484,87941
17,4,2024,15,15,1,53423,35468,26509
18,10,2029,16,55,8,19027,78005,38227
5,2,2021,18,48,16,50271,11108,87021
9,9,2023,7,49,20,64735,39355,44508
7,4,2015,2,17,53,80199,67797,67586
16,11,2012,20,2,52,57597,34073,94058
12,3,2021,13,47,24,91042,29670,63146
15,1,2016,12,10,10,8898,23744,25540
16,12,2015,13,52,47,50867,79114,4535
4,12,2018,3,50,14,68720,25562,93700
3,5,2022,4,52,50,27216,43817,44819
10,1,2010,19,45,53,6223,32319,98882
15,4,2028,8,29,50,14933,17364,27182
16,1,2025,5,51,40,50285,37654,85332
5,9,2021,3,50,29,3192,34566,10655
7,12,2017,6,28,21,11294,80728,13599
3,6,2030,14,31,59,39600,52921,83714
19,3,2010,3,55,54,10614,98123,21613
30,4,2020,19,43,40,58112,50057,70720
29,7,2012,7,40,6,34476,27956,12596
2,10,2014,19,57,43,79210,11265,5324
25,9,2022,24,46,43,14372,54863,70439
8,1,2015,18,17,24,72081,20990,63424
23,3,2023,22,28,1,76238,32334,91842
16,4,2014,12,55,44,4281,75299,76235
12,4,2016,8,60,54,68671,78818,74600
9,8,2027,1,6,18,19967,39048,2206
17,1,2011,19,29,13,2432,81634,42148
14,1,2028,8,1,31,5608,48512,50293
27,5,2030,16,44,52,1772,90197,27938
12,9,2016,13,39,22,63043,62899,73416
7,4,2026,24,44,10,39688,16179,93748
11,6,2028,18,42,10,24051,74688,36001
7,3,2022,19,54,5,94669,24978,52046
6,4,2030,16,21,47,13324,72089,10480
25,1,2029,15,58,51,44046,27921,46340
29,10,2010,14,37,49,98384,58237,51090
2,10,2013,11,38,50,14332,51977,20268
30,5,2019,15,15,19,66292,64714,54949
9,2,2023,18,5,60,67513,24856,80786
28,12,2029,11,44,39,43468,32922,51928
15,11,2011,12,43,47,65909,53054,72803
30,9,2017,20,47,33,91655,41812,31303
10,6,2025,19,5,58,78236,49651,42275
11,8,2027,13,31,32,903,91042,46661
9,10,2026,5,45,49,10804,52981,6070
3,11,2012,3,28,15,91352,83579,258
1,12,2025,19,3,40,53104,11104,91744
29,1,2019,17,38,11,4509,24775,59092
26,1,2019,8,11,20,16557,57660,34998
14,8,2024,13,52,18,7860,70751,7446
4,5,2028,2,43,50,48434,45253,71134
4,12,2011,5,45,47,79896,5152,85391
9,2,2029,16,3,58,66274,30135,42092
6,1,2013,6,21,5,11994,71107,70990
28,4,2027,4,17,37,27011,10156,90458
12,5,2010,15,23,26,51536,75357,21317
13,3,2013,16,49,20,57202,83120,3919
12,9,2022,6,23,14,94008,27175,49794
22,5,2024,13,42,39,12263,93204,20028
21,11,2021,23,6,23,92303,14638,5905
9,3,2016,12,55,30,91185,20503,63514
26,4,2021,4,31,41,94730,8781,64449
19,9,2022,22,9,3,27574,23760,32453
7,11,2012,15,9,18,14175,23417,12228
26,3,2030,7,35,12,1006,85286,42653
13,6,2022,14,2,21,84791,75901,4828
9,10,2019,16,6,7,71391,40426,5306
25,6,2010,3,35,10,12389,54338,57141
3,11,2026,2,25,57,36043,89465,61280
25,3,2030,1,59,50,47607,15093,63722
14,8,2028,14,43,53,89144,22731,75488
25,10,2029,17,43,33,36802,6194,41522
17,12,2026,11,46,14,90329,81170,73527
2,4,2014,5,8,47,54253,21816,53434
14,7,2019,24,15,58,1402,98293,40513
8,3,2018,13,10,38,43698,31160,46488
12,10,2011,24,37,13,78327,54202,62852
2,2,2025,3,54,47,19898,81468,94123
26,12,2021,14,20,41,34111,47479,8317
10,11,2021,11,38,43,85516,19374,76282
2,10,2022,13,56,5,33223,65283,1330
20,12,2016,18,51,43,11095,4820,96759
29,4,2021,9,48,38,70712,59573,13496
16,9,2019,14,30,22,69539,16926,87762
26,5,2024,3,48,2,42487,27390,87600
27,8,2024,14,36,50,8794,20930,63185
20,10,2017,10,46,46,32053,76375,45447
17,8,2029,9,47,31,16596,79589,63007
9,10,2025,17,55,56,36073,60165,19963
2,8,2029,16,4,54,83968,12604,70082
20,12,2019,18,19,16,16867,40875,70836
18,2,2027,15,31,5,93027,63099,75550
5,10,2012,13,7,15,90342,76829,66570
30,10,2023,15,7,27,51103,43625,90426
9,9,2030,3,27,33,1484,22479,50946
4,6,2013,23,14,16,11084,65379,90662
20,9,2012,24,53,50,50215,46047,6920
5,11,2030,21,21,5,3869,67505,75409
30,4,2026,10,7,2,23760,12111,62633
26,12,2019,8,30,53,50399,44074,18977
9,10,2025,8,36,6,31065,99215,28736
1,3,2023,22,23,59,93347,78185,39443
15,9,2025,21,27,11,14200,23812,12763
25,8,2021,12,24,26,26683,50490,21992
17,10,2018,1,38,5,99050,76353,38954
19,2,2017,12,28,36,10867,43537,51088
20,9,2030,17,6,45,55819,99370,25980
14,11,2015,14,58,15,50231,34563,83953
1,7,2012,24,6,46,9276,34576,70608
20,6,2019,20,56,42,86445,44066,8621
28,9,2017,2,42,40,9689,40091,35129
7,12,2019,19,26,3,96138,41333,13576
29,6,2019,16,36,16,84100,77836,69562
13,1,2010,13,25,52,85731,38301,13220
22,2,2027,3,60,16,44989,37558,30717
22,7,2015,17,58,37,93388,29530,51388
19,5,2024,1,10,41,48376,4415,78827
8,9,2026,22,51,58,69024,19754,41891
6,9,2019,19,7,38,83388,98429,8240
18,3,2025,6,4,41,29970,43178,33132
24,12,2023,11,37,30,17850,19464,67494
20,7,2023,2,32,53,95316,60933,88333
12,10,2017,22,38,38,58249,38408,22547
21,3,2019,16,19,24,21193,83234,37967
5,5,2011,5,13,31,10698,43546,17928
29,8,2026,11,38,6,78716,86414,39441
4,8,2020,4,19,11,89360,91374,4624
11,3,2014,8,47,33,29521,31034,44826
14,3,2022,1,1,1,22458,81245,66830
24,8,2011,20,20,39,84228,18410,37513
22,3,2015,9,45,25,94605,38134,87329
28,7,2017,21,47,1,34214,19197,89222
17,3,2012,7,44,54,23529,97734,1593
15,2,2010,6,33,54,73715,40467,82372
14,9,2016,3,12,58,67111,7600,52201
3,11,2020,2,13,11,798,13152,5768
1,4,2023,5,14,15,74361,40977,51542
21,6,2021,2,27,7,76693,29194,20670
22,12,2023,2,39,43,23383,27303,69866
13,10,2025,15,18,45,97546,42406,38149
17,11,2029,4,22,20,25844,29765,65753
17,11,2015,11,45,24,93127,28477,90371
28,12,2011,21,32,53,83400,97298,79131
23,5,2011,5,44,7,43098,15788,73029
8,5,2013,8,45,23,82645,71180,66991
26,8,2022,15,12,48,92522,56667,49759
29,6,2022,12,27,12,91150,70217,24986
5,11,2022,9,19,39,96835,54395,10305
6,8,2011,1,55,59,63325,30588,1236
15,2,2017,11,28,29,44809,80555,21368
23,12,2028,14,15,26,67615,46993,81766
21,12,2010,7,25,41,6279,25905,42290
24,8,2022,23,54,33,7409,15825,10530
28,7,2018,4,27,42,45018,30095,2633
8,8,2011,3,42,2,64072,55708,73021
9,6,2029,15,26,6,39409,71101,85817
14,8,2014,24,2,35,76904,22372,85122
11,7,2016,24,59,21,24572,53619,11524
18,5,2012,23,47,42,83065,68029,91859
26,4,2012,21,38,33,29097,27638,55871
13,1,2029,6,4,8,91081,72280,4710
9,3,2018,23,30,18,88966,60778,25974
19,2,2022,4,37,33,71135,39645,87132
17,2,2026,12,48,39,8063,83506,87862
3,7,2021,9,38,26,45538,26910,83439
2,4,2013,18,41,60,91763,57027,63401
26,1,2019,3,18,32,75330,56240,29006
30,7,2026,13,13,29,83793,36746,99318
16,12,2021,24,6,53,77636,26624,94504
22,10,2016,4,59,44,66292,71480,54731
17,8,2014,24,2,54,48631,4245,30146
29,11,2018,13,4,60,7480,87836,12956
30,3,2016,12,20,31,61119,92580,24930
7,8,2027,5,36,14,54551,16730,74714
20,10,2012,14,7,47,3617,14238,64685
6,3,2011,7,32,39,47772,68621,5220
22,5,2011,10,7,51,10543,75949,12539
14,1,2029,3,41,53,76655,84105,85950
25,8,2010,11,26,48,29774,58246,32622
23,10,2019,20,33,48,65264,92976,40058
23,2,2020,21,12,44,59760,15581,34528
27,4,2022,18,49,9,40941,18237,37390
23,12,2029,5,5,9,91220,78913,62441
25,10,2026,12,28,8,65797,99749,43922
29,12,2021,5,23,9,88040,85090,5637
3,9,2015,22,59,36,19747,93031,95058
12,9,2014,19,37,57,27726,16467,44132
18,2,2023,10,58,13,40242,26661,64813
20,7,2016,6,31,1,61718,60202,58429
22,11,2011,9,47,15,9010,95458,68299
27,5,2010,14,2,31,36285,54552,10231
18,9,2029,22,59,3,71577,2739,53728
14,8,2021,7,8,43,17233,50746,30161
4,6,2020,2,51,34,38892,75219,86867
13,11,2026,12,28,6,67883,91815,54372
13,1,2018,16,49,25,63223,2018,22484
1,7,2016,23,20,50,9526,47380,32698
16,11,2025,2,11,1,24225,98711,21127
12,5,2027,8,1,31,91684,7350,39888
24,11,2026,24,21,60,83184,7598,60434
18,7,2013,12,36,30,124,23620,32190
17,8,2010,7,52,31,56693,96085,41330
30,6,2010,10,27,42,60107,95467,98616
27,7,2021,20,31,49,83845,21297,56873
9,5,2027,23,43,29,13184,49737,26867
2,8,2030,4,16,34,21094,35692,68589
3,12,2012,24,33,5,66139,50169,28551
7,8,2016,4,15,30,90348,75463,57406
